,home_team_goal,away_team_goal,odds-home,odds-draw,odds-away,home-wins,home-draws,home-losses,home-goals,home-opposition-goals,away-wins,away-draws,away-losses,away-goals,away-opposition-goals
0,4,0,1.36,4.5,9.0,5,3,2,14,10,2,2,6,8,14
1,1,1,2.25,3.0,3.5,3,4,3,16,12,4,3,3,14,12
2,0,0,2.8,3.0,2.7,5,2,3,10,8,4,4,2,15,13
3,0,2,1.91,3.25,4.33,5,3,2,18,11,3,3,4,10,11
4,3,1,2.1,3.0,4.0,2,4,4,6,9,1,6,3,7,10
5,1,1,3.6,3.0,2.2,3,1,6,7,16,5,4,1,20,13
6,0,1,1.75,3.25,5.5,5,2,3,12,9,5,3,2,9,8
7,1,4,1.73,3.25,5.5,3,1,6,6,10,2,3,5,10,14
8,0,2,5.25,3.3,1.75,0,6,4,10,14,6,3,1,14,8
9,0,0,2.75,3.0,2.75,2,1,7,8,16,3,6,1,13,9
10,2,0,1.8,3.4,4.2,7,0,3,24,11,4,4,2,23,16
11,2,1,3.5,3.3,2.1,1,3,6,11,16,8,2,0,15,6
12,1,1,2.0,3.3,4.0,4,1,5,10,15,4,0,6,14,18
13,2,2,2.5,3.3,2.88,3,1,6,8,16,3,3,4,11,18
14,1,2,1.91,3.4,4.2,4,2,4,10,15,2,2,6,11,15
15,2,1,8.0,4.5,1.4,3,1,6,11,18,6,2,2,22,10
16,5,0,1.17,6.5,21.0,7,2,1,22,4,3,3,4,9,11
17,0,0,1.83,3.1,5.0,3,3,4,10,10,1,2,7,7,16
18,2,0,1.73,3.25,4.75,4,4,2,15,13,3,2,5,7,15
19,1,1,2.2,2.9,3.75,2,3,5,13,15,4,3,3,8,7
20,3,1,1.57,3.6,6.5,5,4,1,17,10,3,1,6,7,13
21,1,0,3.1,2.88,2.6,1,5,4,8,13,5,3,2,16,9
22,1,0,2.6,2.88,3.0,4,4,2,15,12,5,2,3,12,9
23,0,1,2.0,3.0,4.33,6,3,1,10,5,3,5,2,16,11
24,3,1,1.17,7.0,15.0,5,3,2,22,16,1,5,4,11,17
25,1,3,1.53,3.8,6.5,5,1,4,15,12,4,1,5,8,12
26,5,1,1.75,3.5,4.75,3,4,3,23,22,5,3,2,14,10
27,0,2,4.5,3.5,1.8,1,3,6,6,15,4,5,1,15,8
28,3,0,3.25,3.4,2.15,2,3,5,10,20,6,2,2,17,15
29,4,1,1.5,4.0,6.5,7,1,2,27,15,3,0,7,8,16
30,2,0,1.73,3.75,4.5,4,1,5,14,16,3,0,7,10,19
31,1,0,2.2,3.4,3.2,3,2,5,9,12,5,1,4,11,11
32,0,0,2.6,3.3,2.62,3,2,5,8,11,4,2,4,12,15
33,2,0,3.0,3.3,2.38,2,2,6,8,13,4,1,5,23,16
34,2,3,2.6,2.88,3.0,1,2,7,7,18,2,4,4,8,10
35,2,0,1.5,3.75,7.5,6,3,1,13,8,5,3,2,18,12
36,1,0,1.65,3.4,6.0,3,6,1,9,5,0,6,4,9,14
37,1,1,1.55,3.8,6.25,4,5,1,18,15,1,4,5,13,18
38,1,2,2.1,3.3,3.5,2,1,7,9,20,2,3,5,11,16
39,0,2,5.5,3.5,1.67,4,2,4,12,15,8,1,1,27,13
40,2,0,3.0,3.3,2.38,2,3,5,12,18,6,2,2,19,12
41,3,3,1.29,5.0,11.0,8,1,1,23,7,4,3,3,12,10
42,2,0,1.75,3.75,4.33,4,1,5,14,16,4,1,5,13,12
43,2,1,2.3,3.3,3.1,5,1,4,10,11,3,3,4,13,17
44,2,3,1.36,4.75,8.5,7,1,2,26,12,3,6,1,11,6
45,1,1,1.4,4.33,8.0,5,3,2,21,11,2,3,5,14,20
46,1,2,1.83,3.5,4.2,1,2,7,5,17,1,1,8,7,21
47,0,0,2.0,3.5,3.6,3,3,4,10,18,2,2,6,12,22
48,1,0,2.7,3.25,2.6,5,3,2,15,12,6,2,2,17,11
49,2,1,3.25,3.25,2.3,5,2,3,22,12,6,3,1,19,8
50,3,0,1.2,6.0,19.0,7,2,1,15,8,3,2,5,10,17
51,1,2,2.38,3.3,3.0,3,3,4,9,15,4,2,4,11,13
52,1,3,2.6,3.25,2.8,3,1,6,13,18,4,3,3,13,16
53,0,1,2.25,3.25,3.4,5,2,3,15,17,2,2,6,7,12
54,0,0,1.8,3.4,5.0,3,2,5,12,14,4,1,5,12,16
55,2,0,1.55,3.6,7.0,5,3,2,16,9,3,4,3,10,6
56,0,1,1.7,3.4,5.5,3,5,2,14,10,1,2,7,8,19
57,0,3,3.6,3.2,2.1,3,4,3,8,8,5,4,1,16,11
58,0,1,2.25,3.0,3.5,2,3,5,14,16,4,4,2,14,11
59,0,1,4.2,3.3,1.91,3,3,4,10,11,7,2,1,15,8
60,1,1,2.4,3.0,3.1,3,1,6,6,16,5,3,2,8,5
61,2,1,2.38,3.0,3.2,0,6,4,8,13,4,3,3,15,13
62,2,1,1.8,3.5,4.5,6,1,3,15,16,3,6,1,16,14
63,3,0,1.25,5.5,12.0,3,4,3,21,17,1,3,6,6,14
64,0,2,2.1,3.3,3.5,1,4,5,10,18,2,1,7,9,19
65,0,0,4.33,3.6,1.8,1,5,4,14,18,4,3,3,26,21
66,3,3,5.0,3.5,1.73,2,0,8,8,20,8,0,2,24,8
67,1,0,2.38,3.0,3.25,2,2,6,9,14,5,1,4,15,14
68,2,0,1.29,5.25,11.0,8,1,1,28,13,5,1,4,14,13
69,2,1,2.05,3.3,3.6,4,4,2,14,10,4,2,4,10,10
70,1,2,1.67,3.6,5.5,4,3,3,12,14,2,1,7,10,18
71,0,1,2.75,3.25,2.6,3,3,4,8,10,3,2,5,9,15
72,1,1,2.8,3.25,2.5,2,0,8,7,20,3,2,5,14,16
73,2,2,3.2,3.3,2.25,4,2,4,11,13,7,2,1,19,8
74,1,2,1.7,3.8,5.0,5,2,3,15,12,3,2,5,9,15
75,1,2,2.25,3.3,3.3,4,1,5,21,14,2,3,5,12,15
76,0,2,8.0,4.33,1.44,2,4,4,10,18,7,2,1,23,4
77,2,1,2.38,3.25,3.1,3,2,5,8,9,3,2,5,13,17
78,1,0,2.2,3.0,3.6,4,2,4,11,10,5,4,1,16,10
79,0,3,2.38,3.0,3.2,2,1,7,6,15,4,6,0,10,4
80,0,1,2.38,3.0,3.2,1,3,6,6,13,2,5,3,8,11
81,1,0,2.7,3.4,2.5,4,3,3,13,15,7,1,2,28,16
82,1,2,2.8,3.3,2.5,4,5,1,14,8,6,2,2,23,15
83,2,2,3.1,3.3,2.3,3,3,4,13,15,4,1,5,13,14
84,1,1,7.0,3.6,1.57,2,5,3,9,11,7,1,2,15,7
85,3,0,1.57,3.6,7.0,6,1,3,18,12,3,3,4,8,8
86,1,0,1.53,3.6,7.5,6,3,1,16,7,6,3,1,19,8
87,4,0,1.53,3.75,7.0,5,2,3,14,10,1,2,7,8,19
88,2,1,1.53,3.6,7.5,5,2,3,12,8,4,2,4,9,9
89,0,2,6.5,3.6,1.57,1,3,6,6,16,5,3,2,11,7
90,2,1,2.1,3.0,4.0,4,3,3,9,8,3,1,6,10,13
91,0,4,7.5,4.2,1.44,4,1,5,10,12,7,2,1,25,10
92,2,0,1.73,3.5,5.0,3,2,5,10,12,3,2,5,8,11
93,3,0,1.2,6.0,15.0,9,0,1,29,12,4,0,6,10,16
94,2,0,1.91,3.4,4.0,5,3,2,15,10,3,3,4,10,14
95,0,0,6.5,4.0,1.53,5,1,4,14,14,7,2,1,27,10
96,1,0,1.57,4.0,6.5,4,2,4,10,13,1,1,8,7,21
97,1,1,2.38,3.2,3.0,3,1,6,12,18,3,3,4,13,14
98,4,1,1.57,3.5,7.0,6,2,2,12,6,6,2,2,18,9
99,3,2,2.5,3.3,2.75,5,3,2,15,12,4,4,2,17,12
100,1,1,1.91,3.3,4.0,3,2,5,14,19,1,5,4,12,16
101,3,0,1.4,4.5,8.0,7,1,2,19,10,3,4,3,13,13
102,1,1,1.25,5.25,10.0,6,1,3,16,11,1,1,8,4,17
103,2,2,2.0,3.25,3.5,4,0,6,13,14,1,4,5,10,14
104,1,0,2.3,3.25,2.8,2,4,4,14,18,3,3,4,8,16
105,0,0,2.05,3.25,3.4,2,3,5,11,19,2,3,5,9,14
106,2,1,2.2,3.25,3.0,4,3,3,15,11,4,3,3,13,14
107,3,0,4.33,3.4,1.75,2,1,7,8,20,5,1,4,16,13
108,5,0,1.14,7.5,23.0,6,2,2,19,9,3,2,5,9,14
109,0,2,1.5,4.0,7.0,6,2,2,24,12,5,2,3,14,11
110,0,0,2.5,3.25,2.88,3,1,6,14,18,5,2,3,13,13
111,2,2,2.1,3.3,3.6,2,2,6,13,19,3,3,4,12,13
112,1,2,2.0,3.4,3.8,2,3,5,9,19,2,3,5,8,16
113,2,1,3.3,3.3,2.25,4,2,4,9,8,3,3,4,13,14
114,0,2,6.0,3.75,1.62,3,2,5,8,11,7,2,1,16,7
115,0,3,12.0,5.0,1.3,3,2,5,9,18,7,2,1,24,4
116,1,0,1.95,3.0,4.5,3,4,3,10,7,1,5,4,9,13
117,1,3,3.3,3.0,2.3,2,2,6,9,18,5,1,4,11,9
118,1,0,1.6,3.4,6.5,3,3,4,15,15,0,3,7,3,13
119,3,0,1.73,3.2,5.75,5,4,1,15,9,2,1,7,6,17
120,2,3,1.4,4.33,8.5,5,4,1,18,11,2,3,5,13,14
121,1,1,2.0,3.1,4.2,3,4,3,9,11,3,4,3,13,10
122,2,0,2.0,3.1,4.2,5,3,2,9,6,3,4,3,8,9
123,2,1,2.25,3.25,3.2,7,1,2,25,11,4,4,2,14,9
124,4,0,1.65,3.75,5.5,3,5,2,16,15,3,3,4,14,16
125,0,0,1.36,4.5,9.0,4,2,4,15,14,1,3,6,9,19
126,2,1,2.5,3.3,2.75,5,2,3,13,14,6,1,3,15,16
127,1,0,2.3,3.3,3.1,1,2,7,6,17,2,1,7,10,21
128,2,2,6.5,4.0,1.5,3,1,6,11,18,7,1,2,24,15
129,3,2,2.05,3.4,3.5,6,1,3,27,17,4,3,3,22,15
130,0,2,4.33,3.2,1.91,5,1,4,14,12,7,2,1,16,6
131,0,1,2.3,3.25,2.9,3,1,6,12,16,4,3,3,15,16
132,3,2,1.5,3.75,5.5,4,4,2,22,20,4,2,4,11,13
133,4,0,1.62,3.6,4.75,2,2,6,10,26,1,1,8,10,28
134,3,0,2.62,3.2,2.5,1,3,6,9,21,5,3,2,15,9
135,2,1,1.17,7.0,15.0,7,2,1,26,9,3,2,5,7,11
136,2,2,2.3,3.4,3.0,3,2,5,9,15,4,1,5,11,11
137,2,0,2.9,3.4,2.38,3,0,7,9,19,6,2,2,16,9
138,0,1,2.6,3.4,2.6,3,1,6,12,18,4,2,4,9,12
139,1,0,2.4,3.5,2.75,3,4,3,14,12,5,1,4,13,13
140,1,0,4.2,3.3,1.91,3,1,6,9,17,7,2,1,28,16
141,1,1,2.3,3.25,2.9,6,3,1,17,9,6,1,3,25,15
142,1,1,3.25,3.25,2.1,4,5,1,14,8,6,2,2,16,10
143,1,1,1.83,3.5,4.5,4,3,3,14,16,4,2,4,10,14
144,2,2,2.88,3.25,2.5,5,1,4,14,17,3,1,6,19,16
145,2,1,1.73,3.4,5.25,7,2,1,14,8,5,3,2,16,9
146,2,1,1.73,3.2,5.75,4,4,2,14,11,3,2,5,7,15
147,2,1,1.73,3.3,5.5,4,6,0,11,3,3,2,5,9,11
148,3,1,1.4,4.2,8.5,4,3,3,25,20,6,0,4,11,11
149,1,0,2.3,3.0,3.4,2,2,6,10,18,6,1,3,17,11
150,3,2,1.62,3.3,7.0,2,4,4,7,13,2,6,2,10,9
151,1,1,1.91,3.1,4.5,3,3,4,8,10,1,1,8,7,19
152,0,1,1.4,4.0,9.5,5,3,2,16,8,1,2,7,7,21
153,1,0,1.22,5.5,15.0,7,2,1,15,6,0,3,7,4,17
154,3,2,2.15,2.88,4.0,4,3,3,10,9,2,2,6,7,14
155,1,0,3.1,3.1,2.4,3,1,6,10,11,6,1,3,13,8
156,3,1,2.8,2.88,2.75,3,2,5,9,11,7,1,2,15,7
157,4,1,2.2,3.25,3.0,7,1,2,22,12,6,0,4,17,8
158,3,0,1.22,5.5,11.0,6,2,2,23,6,2,1,7,5,18
159,1,1,4.0,3.4,1.8,2,3,5,9,17,7,1,2,26,10
160,1,1,1.95,3.4,3.5,5,2,3,12,11,3,2,5,21,17
161,1,2,11.0,5.25,1.29,1,1,8,7,21,9,0,1,29,12
162,3,1,1.91,3.4,4.0,3,2,5,13,13,3,3,4,10,12
163,3,4,1.73,3.5,5.0,3,3,4,7,11,2,1,7,10,21
164,4,1,1.62,3.75,5.5,4,2,4,19,16,4,3,3,9,9
165,2,0,2.1,3.3,3.5,1,3,6,10,20,0,5,5,3,9
166,2,1,2.0,3.3,3.8,3,3,4,11,16,3,3,4,11,15
167,2,2,3.4,3.4,2.1,4,1,5,13,17,7,3,0,19,9
168,0,2,9.0,5.0,1.33,1,4,5,5,15,8,1,1,34,8
169,0,1,3.1,3.3,2.3,2,1,7,10,20,3,5,2,19,15
170,3,1,3.5,3.6,2.0,1,1,8,8,29,2,2,6,11,20
171,2,0,1.44,4.33,7.0,6,1,3,24,14,6,3,1,18,11
172,3,1,1.36,4.5,9.0,5,3,2,14,11,4,3,3,14,11
173,1,2,4.33,3.4,1.85,2,4,4,9,9,6,3,1,17,9
174,3,2,1.44,4.33,7.0,3,3,4,13,16,3,1,6,10,16
175,2,1,1.67,3.75,5.5,5,1,4,15,14,2,4,4,11,17
176,2,2,2.4,3.3,2.88,1,2,7,5,17,3,3,4,14,17
177,0,2,2.2,3.3,3.3,1,4,5,11,15,3,6,1,11,8
178,0,0,1.25,5.5,15.0,8,1,1,18,7,4,2,4,10,9
179,0,0,5.0,3.6,1.73,6,1,3,16,11,6,2,2,23,9
180,1,3,1.91,3.4,4.33,3,3,4,9,14,3,1,6,8,13
181,3,0,3.25,3.4,2.2,2,2,6,18,18,5,2,3,21,14
182,2,2,1.8,3.6,4.5,4,3,3,10,13,5,2,3,16,14
183,1,0,2.2,3.3,3.4,3,2,5,8,17,3,1,6,9,21
184,0,0,1.2,6.0,19.0,8,1,1,26,3,2,3,5,15,18
185,1,1,1.95,3.1,4.33,5,3,2,16,9,5,5,0,13,4
186,1,0,2.1,3.1,3.75,3,5,2,14,10,3,4,3,9,7
187,0,0,2.1,3.1,3.8,2,4,4,7,11,2,2,6,9,19
188,1,0,2.38,3.0,3.1,3,3,4,16,14,6,2,2,11,6
189,1,0,3.2,3.0,2.4,5,1,4,13,10,7,2,1,15,9
190,0,1,2.25,3.1,3.3,2,1,7,6,19,4,4,2,14,12
191,2,2,2.38,3.0,3.2,0,3,7,3,12,1,5,4,8,12
192,4,1,1.17,7.0,15.0,6,2,2,22,16,2,2,6,7,16
193,3,1,1.36,4.75,9.0,3,4,3,14,11,2,2,6,10,18
194,4,1,2.0,3.4,3.75,4,2,4,22,16,3,3,4,13,14
195,4,0,2.25,3.4,3.1,3,2,5,12,18,3,3,4,15,18
196,2,1,5.0,3.6,1.7,1,4,5,7,15,7,1,2,22,10
197,1,3,3.0,3.5,2.25,5,0,5,10,14,7,1,2,28,14
198,2,3,2.62,3.3,2.62,1,6,3,13,16,6,2,2,14,11
199,4,2,1.91,3.1,4.5,6,1,3,12,7,5,3,2,16,8
200,1,0,2.1,3.1,3.75,7,2,1,16,5,6,2,2,15,7
201,1,1,2.05,3.5,3.5,7,1,2,20,9,4,3,3,13,12
202,6,0,2.0,3.3,3.4,5,2,3,12,11,4,4,2,22,20
203,4,0,1.25,5.5,12.0,5,0,5,13,11,2,4,4,10,15
204,3,3,2.4,3.3,2.7,2,1,7,5,19,3,2,5,12,21
205,2,0,1.33,5.0,9.0,7,2,1,24,8,3,2,5,12,13
206,1,1,1.53,4.0,7.0,6,2,2,16,9,1,1,8,7,21
207,1,4,2.1,3.3,3.5,4,1,5,12,14,3,3,4,11,16
208,2,1,1.91,3.4,4.0,4,2,4,8,11,4,4,2,14,10
209,1,2,2.0,3.4,3.75,3,0,7,9,19,2,1,7,10,18
210,1,3,10.0,4.75,1.33,3,2,5,8,12,10,0,0,29,9
211,0,3,1.44,4.0,8.0,7,3,0,20,10,4,1,5,10,16
212,0,0,2.2,3.25,3.3,6,2,2,14,5,6,2,2,22,12
213,1,0,1.3,5.5,9.0,7,2,1,27,15,0,4,6,4,17
214,2,3,2.1,3.3,3.2,4,3,3,17,13,6,2,2,16,9
215,0,1,2.1,3.4,3.5,3,3,4,10,14,2,2,6,10,17
216,1,0,1.73,3.75,4.75,3,2,5,13,15,2,3,5,9,17
217,2,2,1.8,3.25,5.0,4,4,2,18,13,5,4,1,16,8
218,3,0,2.2,3.1,3.5,3,2,5,10,12,3,3,4,12,14
219,0,1,2.38,3.0,3.25,3,2,5,7,13,2,5,3,8,11
220,2,1,2.38,3.4,2.88,5,1,4,12,16,5,3,2,26,18
221,3,0,1.67,3.4,6.0,3,3,4,9,14,5,3,2,12,9
222,2,2,1.57,3.6,6.5,6,1,3,14,9,4,1,5,11,9
223,0,3,4.0,3.2,2.0,1,6,3,10,12,3,1,6,10,17
224,1,1,2.0,3.1,4.2,5,1,4,15,12,5,2,3,17,13
225,0,2,2.2,3.0,3.6,0,3,7,4,16,2,4,4,7,11
226,3,1,2.5,3.0,3.1,2,1,7,7,20,3,2,5,11,12
227,1,1,2.5,3.0,3.0,1,2,7,8,19,4,1,5,11,13
228,2,2,5.25,3.4,1.73,2,1,7,8,16,8,2,0,16,4
229,2,0,2.3,3.3,2.75,7,2,1,26,9,8,1,1,25,11
230,3,1,1.33,4.5,8.5,3,3,4,21,15,2,1,7,7,15
231,3,0,3.1,3.3,2.1,4,3,3,14,15,6,2,2,22,6
232,4,0,2.0,3.3,3.3,4,2,4,12,11,2,4,4,10,14
233,3,0,2.1,3.25,3.6,3,2,5,10,14,2,3,5,9,15
234,1,1,1.18,7.0,15.0,9,1,0,36,7,2,4,4,8,13
235,3,1,2.25,3.2,3.25,0,4,6,2,10,3,3,4,10,16
236,3,1,2.0,3.3,3.8,3,3,4,8,12,2,3,5,11,17
237,2,2,2.1,3.4,3.4,3,3,4,12,14,4,2,4,15,15
238,1,1,3.6,3.5,2.0,2,1,7,13,24,4,2,4,19,17
239,1,2,2.4,3.2,3.0,5,0,5,16,21,4,2,4,16,13
240,1,0,2.5,3.3,2.88,2,4,4,9,15,4,4,2,15,14
241,0,2,5.0,3.75,1.67,3,4,3,15,17,6,1,3,22,14
242,2,1,1.75,3.5,4.75,7,1,2,15,11,5,0,5,11,14
243,0,2,2.6,3.6,2.5,5,2,3,20,9,8,2,0,28,6
244,3,2,1.73,3.4,4.5,6,2,2,18,11,5,1,4,15,14
245,4,2,2.2,3.25,3.0,3,1,6,13,16,4,3,3,16,16
246,4,0,1.29,4.75,9.5,3,3,4,17,16,1,2,7,6,18
247,2,0,2.2,3.25,3.0,3,3,4,13,13,4,6,0,13,7
248,3,3,2.3,3.2,2.88,3,1,6,11,15,2,3,5,6,16
249,2,1,1.57,3.6,5.25,5,3,2,17,13,1,4,5,7,10
250,1,4,2.25,3.3,3.3,3,2,5,9,14,4,1,5,10,12
251,0,0,1.57,3.8,6.5,5,2,3,14,10,3,3,4,8,8
252,0,0,2.2,3.3,3.4,3,3,4,9,15,2,4,4,14,16
253,1,1,2.4,3.4,2.88,4,2,4,7,14,4,3,3,16,15
254,2,1,1.73,3.6,5.0,3,3,4,9,14,2,1,7,6,20
255,0,1,2.25,3.0,3.5,3,3,4,8,7,3,2,5,11,12
256,0,2,2.4,3.1,3.1,2,2,6,8,18,3,2,5,7,13
257,2,0,2.05,3.0,4.0,3,3,4,11,15,3,5,2,13,10
258,1,1,1.57,3.6,6.5,5,4,1,17,9,4,3,3,17,12
259,0,0,1.22,5.5,15.0,6,2,2,12,8,0,3,7,4,13
260,0,0,3.4,3.1,2.25,1,5,4,9,13,5,3,2,16,9
261,0,2,2.75,3.3,2.5,7,1,2,21,9,6,2,2,23,17
262,5,0,1.4,4.5,8.0,4,3,3,24,20,4,2,4,16,17
263,3,2,1.85,3.4,4.33,2,3,5,10,21,2,1,7,9,18
264,1,3,1.85,3.4,4.33,2,2,6,10,16,2,2,6,8,17
265,3,0,1.4,4.33,8.5,8,0,2,31,15,2,4,4,9,14
266,4,0,1.29,5.0,12.0,5,2,3,14,8,3,1,6,10,18
267,1,1,1.85,3.1,5.0,4,3,3,11,12,1,5,4,9,14
268,1,1,2.75,3.3,2.38,1,2,7,7,22,2,2,6,12,22
269,1,2,4.5,3.8,1.65,1,1,8,5,18,6,1,3,17,10
270,1,0,2.3,3.25,2.8,2,3,5,8,17,4,3,3,14,14
271,2,2,2.62,3.2,2.5,4,3,3,20,24,5,0,5,16,11
272,1,0,1.2,6.0,13.0,10,0,0,28,8,3,1,6,11,17
273,2,1,5.25,3.6,1.67,5,2,3,9,10,7,2,1,24,7
274,2,0,2.1,3.4,3.4,3,2,5,11,13,4,1,5,11,14
275,0,2,2.88,3.4,2.38,2,2,6,7,14,6,3,1,16,8
276,1,1,2.38,3.4,2.88,3,4,3,13,11,3,3,4,13,16
277,1,0,2.6,3.3,2.6,0,2,8,6,21,3,0,7,9,19
278,0,3,3.4,3.5,2.1,6,2,2,13,4,9,1,0,36,7
279,3,1,3.5,3.3,2.1,2,4,4,9,14,7,2,1,24,12
280,3,0,1.44,4.2,6.0,6,3,1,18,10,1,3,6,10,16
281,0,0,4.75,3.5,1.67,2,3,5,12,19,6,2,2,16,11
282,0,1,1.91,3.5,4.0,4,2,4,13,13,3,4,3,12,13
283,0,1,4.33,3.6,1.83,3,2,5,20,15,6,3,1,22,7
284,3,2,2.1,3.3,3.6,3,4,3,10,14,2,3,5,9,14
285,1,2,1.8,3.4,5.0,7,2,1,23,2,4,2,4,17,17
286,1,2,1.91,3.2,4.33,3,4,3,8,10,2,1,7,6,18
287,1,0,2.25,3.0,3.5,5,5,0,13,4,5,1,4,13,10
288,0,0,3.4,3.1,2.25,5,2,3,9,6,4,4,2,19,14
289,0,0,2.2,3.3,3.25,4,4,2,17,12,5,1,4,24,15
290,2,0,2.4,3.3,2.88,3,2,5,14,18,4,3,3,14,9
291,1,1,3.3,3.25,2.2,0,6,4,13,19,5,1,4,11,15
292,0,1,1.44,4.0,8.0,5,2,3,18,12,0,2,8,3,17
293,1,1,1.62,3.4,6.5,5,3,2,17,12,1,3,6,9,19
294,2,1,1.5,3.8,7.5,7,2,1,14,4,6,1,3,16,11
295,3,1,3.75,3.1,2.1,3,2,5,10,13,7,3,0,14,5
296,1,0,1.91,3.2,4.33,4,1,5,12,14,6,1,3,15,9
297,1,0,2.1,3.0,4.0,3,3,4,8,10,2,2,6,9,15
298,1,0,2.5,3.0,3.0,4,2,4,13,10,4,3,3,12,12
299,2,0,2.5,3.0,3.0,3,2,5,12,14,5,2,3,15,9
300,6,1,1.25,5.0,11.0,4,3,3,13,12,2,1,7,11,25
301,1,1,2.75,3.2,2.38,2,4,4,10,17,3,3,4,19,16
302,1,1,1.33,4.5,8.0,7,1,2,24,13,5,2,3,16,9
303,4,0,3.6,3.4,1.91,3,3,4,15,23,7,2,1,20,7
304,0,1,2.1,3.3,3.5,3,2,5,9,17,4,3,3,11,12
305,1,2,3.5,3.3,2.1,0,4,6,4,17,6,3,1,19,13
306,0,1,2.1,3.3,3.5,1,3,6,8,18,5,0,5,16,21
307,4,1,1.57,3.8,6.0,4,3,3,19,16,4,1,5,12,13
308,3,2,1.8,3.4,4.5,6,2,2,20,10,5,1,4,18,14
309,3,0,2.0,3.3,3.8,4,1,5,11,15,3,3,4,13,15
310,4,2,2.2,3.25,3.25,4,2,4,17,17,1,3,6,4,10
311,2,0,1.85,3.5,4.2,2,2,6,12,20,2,2,6,11,21
312,0,0,1.3,5.0,12.0,7,2,1,16,6,3,2,5,9,14
313,3,1,2.4,3.3,2.88,5,1,4,15,14,4,3,3,19,12
314,2,1,1.44,4.0,8.5,4,4,2,15,9,0,4,6,4,11
315,2,1,1.62,3.8,5.5,7,2,1,23,12,8,0,2,30,14
316,5,1,1.2,6.0,11.0,6,1,3,22,13,3,1,6,14,18
317,1,2,1.36,4.5,7.5,5,3,2,14,11,4,1,5,16,15
318,5,2,2.1,3.25,3.25,1,4,5,7,10,3,3,4,14,18
319,1,2,1.67,3.4,5.0,3,3,4,15,18,1,4,5,10,18
320,1,0,3.25,3.3,2.1,1,2,7,6,19,6,2,2,18,13
321,3,0,2.2,3.25,3.0,1,3,6,10,18,3,3,4,11,11
322,1,0,1.14,7.5,23.0,7,2,1,22,6,2,2,6,8,18
323,1,0,1.33,4.75,11.0,4,2,4,16,17,4,2,4,11,15
324,2,2,1.8,3.5,4.75,2,5,3,13,13,4,2,4,8,15
325,1,3,5.5,3.5,1.73,1,3,6,10,17,7,2,1,16,6
326,1,1,2.6,3.2,2.8,3,4,3,8,7,2,2,6,14,16
327,0,2,7.0,3.8,1.53,5,1,4,13,10,7,1,2,23,3
328,2,1,2.38,3.25,3.1,4,3,3,15,14,3,4,3,9,13
329,1,1,2.75,3.0,2.75,3,4,3,12,11,6,4,0,14,4
330,1,1,1.75,3.3,5.25,4,5,1,15,8,4,3,3,7,5
331,2,1,1.75,3.3,5.25,4,4,2,19,14,5,4,1,13,9
332,2,0,1.75,3.3,5.25,2,1,7,7,19,2,2,6,8,19
333,1,0,1.83,3.4,4.33,3,3,4,13,11,7,1,2,16,12
334,4,0,2.1,3.3,3.5,4,1,5,15,21,0,6,4,13,19
335,0,0,3.1,3.3,2.3,1,4,5,7,17,4,5,1,16,8
336,0,3,3.3,3.25,2.2,3,1,6,10,17,3,2,5,13,17
337,1,3,4.75,3.5,1.75,2,2,6,11,18,6,1,3,17,11
338,1,0,5.0,3.6,1.7,1,1,8,9,20,4,3,3,24,18
339,0,1,5.5,3.4,1.73,1,1,8,3,16,4,1,5,10,14
340,0,3,3.75,3.1,2.1,4,2,4,12,11,7,2,1,15,5
341,4,2,1.5,3.8,6.0,5,1,4,18,12,5,1,4,19,10
342,6,2,1.22,5.25,10.0,6,1,3,17,10,4,2,4,18,22
343,3,0,2.0,3.2,3.5,2,3,5,13,20,2,4,4,10,17
344,2,0,1.2,5.5,12.0,8,2,0,29,6,3,2,5,8,16
345,4,2,1.91,3.3,3.75,5,2,3,13,10,1,4,5,6,14
346,2,1,2.1,3.25,3.25,2,3,5,5,10,2,3,5,11,16
347,7,1,1.2,6.0,15.0,6,2,2,23,8,1,2,7,7,20
348,1,3,2.8,3.4,2.4,3,1,6,11,17,6,3,1,17,8
349,1,2,1.83,3.5,4.33,3,4,3,13,11,2,1,7,6,15
350,3,3,1.73,3.6,4.75,6,3,1,19,13,3,3,4,11,14
351,4,0,1.53,4.2,6.0,9,1,0,33,6,6,2,2,22,12
352,2,5,3.4,3.2,2.2,6,0,4,16,15,4,3,3,19,17
353,2,0,2.88,3.2,2.3,4,5,1,12,8,7,2,1,20,9
354,3,1,3.25,3.25,2.1,2,4,4,9,15,6,2,2,18,12
355,2,3,2.62,3.25,2.75,4,3,3,11,11,4,3,3,12,9
356,1,1,2.62,3.25,2.75,2,1,7,6,20,4,4,2,13,10
357,0,0,2.38,3.0,3.25,2,4,4,6,10,3,3,4,6,5
358,1,0,2.1,3.1,3.75,4,3,3,17,12,3,3,4,9,12
359,1,1,1.83,3.25,4.75,4,1,5,12,12,1,6,3,8,11
360,3,1,1.8,3.2,5.0,5,1,4,13,10,4,2,4,11,13
361,2,1,1.57,4.0,5.75,4,2,4,21,15,3,3,4,13,19
362,1,2,3.1,3.3,2.3,5,0,5,12,14,5,2,3,12,13
363,3,0,2.3,3.1,3.3,3,2,5,13,14,4,2,4,15,13
364,2,2,2.1,3.0,4.0,3,1,6,9,20,1,4,5,10,17
365,1,0,2.5,3.0,3.0,5,2,3,14,9,4,2,4,12,12
